ID;Название;Кол-во просмотров;Настроение;ТОП10 Слов
709;How low-cost eye care can be world-class;271064;Inspiring Ingenious Informative;клиника доктор операция консультация качество аравинд зрение врач производительность очки
710;Pop culture in the Arab world;435564;Informative Unconvincing OK;цивилизация ислам молодой имя фулла барби аллах кросс скрещивание персонаж
712;The intricate economics of terrorism;507771;Informative Fascinating Courageous;экономика терроризм бригада штат группировка преступность акт число террор отмывание
713;Photographing the hidden story;515081;Inspiring Courageous Beautiful;пора генерал либерия джошуа прощение повествование фото пожар служба съемка
714;How to make a splash in social media;1829260;Funny Inspiring Informative;кит голосование сайт китенок имя гринпис страница контроль читатель итог
715;Dragonflies that fly across oceans;520958;Fascinating Informative Beautiful;стрекоза дождь муссон мальдивы птица ветер воздух сезон мале насекомое
716;Metaphorically speaking;709522;Informative Fascinating OK;метафора открытие джульетта предложение состояние цена элвис смысл синестезия шекспир
717;A new way to fight corruption;462183;Courageous Inspiring Ingenious;взятка служба коррупция бизнес инцидент апплодисменты услуга жертва средство инструмент
718;Fusion is energy's future;655582;Informative Fascinating Persuasive;синтез реакция ядро запас тритий гелий ресурс топливо газ температура
719;My message of peace from Pakistan;381240;Inspiring Beautiful Courageous;пакистан житель взгляд представитель прилив район сердце мехер отличие человечность
723;My solar-powered adventure;708281;Inspiring Courageous Fascinating;самолет полет высота направление шар балласт борт батарея пилот топливо
724;The neurons that shaped civilization;1765613;Fascinating Informative Jaw-dropping;нейрон прикосновение основа имитация сочувствие предмет эволюция культура кожа касание
726;Exposing the invisible;1747647;Beautiful Fascinating Ingenious;рентген снимок автобус зал деталь фрида мертвый поиск поверхность сканер
727;How to live to be 100+;2607918;Informative Inspiring Fascinating;долголетие диета зона адвентист возраст продолжительность старение сообщество голубой правило
728;The real danger lurking in the water;363008;Informative Inspiring Fascinating;река кобра змея гавиал среда лес крокодил длина шамбал метр
729;An all-star set;579189;Beautiful Inspiring Jaw-dropping;миллер харви хэнкок херби мэйсон маркус
734;"How we rescued the ""dancing"" bears""";382411;Inspiring Courageous Beautiful;медведь каландар традиция семя центр медвежонок заповедник магазин садуа бида
735;Kids, take charge;1268377;Inspiring Persuasive Beautiful;риверсайд вирус ахмадабад ученик девочка участие публика перемена раджастан площадка
736;Making maps to fight disaster, build economies;332899;Informative Inspiring OK;пользователь дорога больница оон циклон наргиса жест рельеф дополнение застройка
738;All things are Moleeds;1002182;Funny Ingenious Obnoxious;число вселенная название флуктус имя додекаэдр сечение море дама господь
741;How I held my breath for 17 minutes;10829630;Fascinating Jaw-dropping Courageous;дыхание рекорд пульс кислород течение задержка удар кровь сердце тренировка
743;10 young Indian artists to watch;408434;Beautiful Informative Inspiring;художник инсталляция скульптура комикс бинди тема бхарти читр картинка зритель
744;Growing new organs;1573774;Fascinating Jaw-dropping Ingenious;орган печень подложка ткань сосуд организм пузырь биоматериал стратегия мышца
748;Your health depends on where you live;654420;Informative Persuasive Fascinating;врач штат среда концентрация пол терапевт здоровье поезд стиль заключение
750;Building a theater that remakes itself;567192;Ingenious Inspiring Fascinating;сцена зал театр архитектура клиент конфигурация позиция авансцена даллас архитектор
751;Embrace your inner girl;1041731;Inspiring Courageous Beautiful;девочка сущность существо жаклин агнес обрезание глагол девушка женственность мальчик
752;A warm embrace that saves lives;604098;Ingenious Inspiring Informative;малыш инкубатор малышка род врач задача температура севит больница вставка
755;Weird, or just different?;2442695;Funny Informative Fascinating;квартал название номер порядок фраза японец врач пословица япония замешательство
757;Solving social problems with a nudge;444723;Informative Persuasive Fascinating;миля диарея литр смерть безопасность маркетинг мяч инсулин сложность энергопотребление
759;The big idea my brother inspired;481430;Inspiring Ingenious Informative;состояние литий лекарство стивен брат линия испытание умберто функция препарат
760;A lab the size of a postage stamp;467510;Ingenious Informative Fascinating;бумага тест анализ кровь принтер цвет простота моча миксер стоимость
761;A new strategy in the war on cancer;614576;Informative Persuasive Fascinating;рак лекарство заболевание онкология плацебо врач протяжение грудь онколог химиотерапия
762;The painter and the pendulum;405456;Beautiful Inspiring Fascinating;картина вселенная цвет круг магнит линия солнце паркинсон маятник центр
763;How to expose the corrupt;635439;Courageous Informative Inspiring;коррупция банк германия взятка взяточничество ворлд конвенция экономика собрание институт
765;Teach every child about food;6573198;Inspiring Persuasive Informative;америка питание ожирение молоко ситуация еда сахар фастфуд супермаркет пища
766;Augmented-reality maps;1638590;Jaw-dropping Fascinating Ingenious;окей угол приложение камера представление прямой небо эфир плейс дата
767;Innovating to zero!;3507143;Informative Inspiring Persuasive;реактор топливо выброс чудо направление услуга ноль источник энергетика отходы
768;The next age of government;602570;Inspiring Persuasive Unconvincing;управление политика расход революция услуга перемена власть здравоохранение факт прозрачность
769;The opportunity of adversity;1816028;Inspiring Courageous Beautiful;обстоятельство способность доктор бог потенциал дверь сообщество словарь имя отличник
770;Technology's epic story;482004;Fascinating Informative Unconvincing;порядок смысл цена еда охотник прошлое собиратель огонь звезда увеличение
771;Four ways to fix a broken legal system;561262;Persuasive Inspiring Courageous;иск суд свобода ученик принцип власть граница класс среда учительница
772;The wireless future of medicine;668605;Informative Fascinating Inspiring;сон прибор медицина сенсор заболевание мониторинг смартфон показатель фаза недостаточность
773;The world needs all kinds of minds;3645703;Inspiring Informative Fascinating;мышление аутизм линия скот аутист церковь тип деталь лошадь оборудование
776;How brains learn to see;762689;Inspiring Informative Fascinating;область зрение пракаш аутизм дилан хрусталик слепота доктор центр больница
777;My 5 lives as an artist;610548;Inspiring Beautiful Funny;картина карикатура художник путешествие нетр ряд карикатурист премьер-министр сотня нью-йорк
779;The riddle of experience vs. memory;3140474;Fascinating Informative Inspiring;счастие опыт воспоминание поездка понятие ловушка ощущение колоноскопия благополучие память
780;The rise of cricket, the rise of India;484724;Informative Fascinating Funny;крикет игрок матч овер лига спорт прити событие зинт калькутта
783;Is Pivot a turning point for web exploration?;631023;Ingenious Fascinating Informative;страница запрос википедия журнал пивот смерть приложение зависимость приз ланс
785;Before Avatar ... a curious boy;1724952;Inspiring Fascinating Informative;корабль погружение титаник робот существо кино фантастика воображение любопытство обломок
786;In the Internet age, dance evolves ...;2532271;Jaw-dropping Beautiful Inspiring;танец танцор дэвид крамп герой мэдда сгусток малыш джин чадда
788;The year open data went worldwide;627194;Inspiring Informative Fascinating;великобритания лагерь землетрясение принц сайт порт сообщество беженец калифорния гаити
789;Take Turns;542164;Ingenious Persuasive Informative;знак дорога перекресток очередь топливо направление стоимость значение скорость кольцо
790;How I fell in love with a fish;1821244;Inspiring Informative Persuasive;рыба ферма мигель кожа еда дон успех птица вкус курица
791;Medical miracle on Everest;626834;Inspiring Courageous Fascinating;лагерь альпинист фут вершина бек высота гора ветер роба эверест
792;The magic of the placebo;926057;Funny Confusing Fascinating;фокус эффект плацебо пилюля палец нож кожа игла рукав капсула
796;Suspended animation is within our grasp;681582;Jaw-dropping Fascinating Ingenious;состояние кислород анабиоз сероводород вещество обмен лыжница мышь температура концентрация
797;Take health care off the mainframe;358669;Persuasive Informative Inspiring;здравоохранение показатель больница телефон мими падение лекарство сфера пенсия мэйнфрейм
799;Gaming can make a better world;4046120;Inspiring Fascinating Ingenious;геймер варкрафт победа кость нефть голод геродот спасение институт миссия
800;We are the stories we tell ourselves;675346;Inspiring Fascinating Longwinded;елизавета вселенная гармония противоречие бесс смертность паника ночь рэль сущность
801;Science can answer moral questions;2791695;Persuasive Inspiring Courageous;мораль факт самочувствие область состояние ценность понятие мнение спектр различие
802;The fight to end rare-animal trafficking in Brazil;290371;Informative Inspiring Persuasive;птица популяция бразилия воля браконьер освобождение ген брэд условие среда
803;Let's simplify legal jargon!;757516;Persuasive Informative Ingenious;простота служба ясность лаборатория прозрачность договор письмо сочувствие бумаженция тема
804;Why we need to go back to Mars;518589;Fascinating Informative Inspiring;марс поверхность атмосфера центр аппарат метан высота кратер лэнгли газ
805;Music is medicine, music is sanity;1050828;Inspiring Beautiful Fascinating;натаниел скрипка стив лос-анджелес бетховен состояние уолт роберт скид музыкант
807;How to combat modern slavery;751835;Inspiring Persuasive Informative;рабство раб цена америка освобождение численность свобода майкл джеймс ганя
809;Teaching one child at a time;738260;Inspiring Courageous Beautiful;трущоба парушар девочка велосипед половина ученик путешествие парикрма колледж крыша
811;And now, the real news;614629;Informative Unconvincing OK;новость робот китай открытие значение аргентина ген зал муравей пресс
814;How to start a movement;5163431;Inspiring Funny Persuasive;лидер последователь толпа одиночка чудак вывод мужество мера лидерство майка
815;What adults can learn from kids;4155366;Inspiring Jaw-dropping Courageous;взрослый издатель стекло ограничение поколение лидер ученик фигура режим способность
818;Sex, drugs and HIV -- let's get rational;1047752;Persuasive Informative Funny;шприц вич секс вирус презерватив здравоохранение фрэнки заражение наркоман проститутка
819;The emotion behind invention;486271;Inspiring Jaw-dropping Courageous;протез ребята чак контроль рид мнение крюк уолтер стол солдат
820;My seven species of robot -- and how we created them;1785889;Ingenious Fascinating Inspiring;робот лаборатория колесо тип мотор сенсор утро спица название шаг
821;Every pollen grain has a story;374753;Informative Fascinating Beautiful;пыльца растение цветок зернышко набор насекомое снимок шип предмет дерево
823;Singing old poems to life;788181;Beautiful Inspiring Fascinating;привратник сын рыжий стихотворение милль молль мэгги мальчик смерть любовь
824;The danger of science denial;1664496;Persuasive Informative Inspiring;корь статья вакцина полиомиелит еда прогресс человечество мнение позор прошлое
826;Photos that changed the world;1130370;Inspiring Persuasive Beautiful;снимок взгляд публика реакция убеждение воздействие фотограф протест тюрьма волнение
828;The tradeoffs of building green;693384;Informative Persuasive Inspiring;энергозатраты салфетка полотенце постройка затрата стол публикация зал мегаватт-час сбор
830;Hooked by an octopus;857373;Inspiring Fascinating Beautiful;осьминог аквариум щупальце бухта источник залив остров рыба глубина риф
831;How art gives shape to cultural change;466495;Inspiring Informative OK;художник выставка черный музей гарлем смысл диалог картина культура сообщество
833;Glowing life in an underwater world;543034;Fascinating Beautiful Informative;рыба приманка биолюминесценция голубой медуза камера батискаф метр привлечение цвет
835;Homeopathy, quackery and fraud;2104079;Funny Persuasive Informative;сильвия браун таблетка джеймс род фонд умерший рэнди половина гомеопатия
836;Bio-lab on a microchip;278169;Ingenious Inspiring Informative;вич размер лекарство сахара чип спид эпидемия средство борьба телефон
837;Build a tower, build a team;2720697;Informative Inspiring Fascinating;башня зефир команда прототип участник задачка макушка задача успех выпускник
838;Political change with pen and paper;453175;Informative Persuasive Inspiring;письмо абзац надпись политик оригинал чиновник штат власть встреча повод
842;Radical women, embracing tradition;437029;Inspiring Courageous Persuasive;традиция дочь лайма союзник сакен хинди хорватия поддержка лесбиянка сестра
843;Computing a theory of all knowledge;1440872;Fascinating Ingenious Jaw-dropping;вселенная правило вычисление знание область теория пакет экран масса строка
844;Why I'm rowing across the Pacific;588404;Inspiring Courageous Fascinating;лодка миля весло путешествие приключение атлантика остров течение австралия гаваев
845;Toward a science of simplicity;568235;Informative Inspiring Longwinded;простота сложность телефон транзистор зрение крис характеристика чашка джордж схема
846;Lies, damned lies and statistics (about TEDTalks);2005893;Funny Ingenious Informative;выступление тема цвет докладчик сцена правило анализ статистика рейтинг сайт
847;Social experiments to fight poverty;736420;Persuasive Inspiring Informative;сетка чечевица гаити иммунизация бедность вакцинация политика медицина возраст лагерь
848;How great leaders inspire action;25338768;Inspiring Persuasive Fascinating;райт брат факт успех лэнгли лидер америка полет самуэль кинг
849;"""Love Is a Loaded Pistol""";521276;Beautiful OK Inspiring;любовь ночь орех билли утро шлюпка джонни течение пистолет маяк
850;How we wrecked the ocean;541340;Persuasive Informative Jaw-dropping;рыба риф коралл водоросль загрязнение побережье климат дно лес смена
851;India's hidden hotbeds of invention;585655;Inspiring Informative Ingenious;изобретение знание нужда велосипед пчела изобретатель потребность порядок сковорода китай
852;The hidden influence of social networks;1129638;Informative Fascinating Inspiring;вес эмоция индивидуум тучность скопление явление прибавление эпидемия риск тип
853;Could this laser zap malaria?;797988;Ingenious Jaw-dropping Fascinating;москит малярия лазер кровь крыло вакцина холод сетка паразит сосуд
854;Glimpses of a pristine ocean;294892;Persuasive Informative Inspiring;резерв рыба риф коралл биомасса акула экосистема рыбак водоросль район
855;Math class needs a makeover;2213885;Inspiring Persuasive Informative;задача школьник математика класс слой учебник умение крутизна диалог бак
856;"It's time for ""The Talk""";3044078;Funny OK Beautiful;яйцо лягушка куда кошка спаривание головастик куча дочь дочка прудик
859;Can we eat to starve cancer?;3750512;Informative Persuasive Inspiring;рак ангиогенез сосуд опухоль лекарство препарат организм тип вес питание
860;Why I'm a weekday vegetarian;1773541;Persuasive Inspiring Informative;вегетарианец мясо экология условие гамбургер среда здоровье потребление противоречие кошка
861;Pay attention to penguins;338267;Informative Inspiring Fascinating;пингвин нефть остров гнездо аргентина птенец пунт течение томбо яйцо
862;Planning for the end of oil;570698;Unconvincing Informative Inspiring;нефть доля энергосистема вещество ракушка пик мел соединение источник карбонат
863;"Watch me unveil ""synthetic life""";977046;Jaw-dropping Fascinating Ingenious;хромосома днк код дрожжи ген основание трансплантация геном бактерия знак
865;Bring on the learning revolution!;6153023;Inspiring Persuasive Funny;талант выступление кризис условие доказательство пожарник ткань сад университет задача
866;Lessons from fashion's free culture;939064;Informative Persuasive Fascinating;мода защита дизайнер индустрия предмет одежда копирование область собственность факт
868;Inside a school for suicide bombers;983427;Informative Courageous Jaw-dropping;талибан всевышний смертник атака этап талибана мальчик теракт ислам еда
869;HIV and flu -- the vaccine strategy;484474;Informative Fascinating Ingenious;вакцина грипп вирус вич антитело яйцо штамм разработка производство счастие
871;Re-examining the remix;372700;Persuasive Informative Unconvincing;ремикс свобода творчество республиканец использование создатель ценность произведение правый культура
872;Pointing to the future of UI;1455815;Jaw-dropping Fascinating Ingenious;интерфейс тень дисплей элемент задача вычисление управление лаборатория цвет стена
873;The ocean's glory -- and horror;1241124;Inspiring Informative Beautiful;акула кит детеныш рыба популяция море креветка фото обитание среда
874;The case for anonymity online;1345584;Funny Fascinating Informative;крис сайт зал правило сообщество форум кошка форчанг тред ряд
876;Why we need the explorers;1467858;Inspiring Beautiful Fascinating;звезда луна вселенная галактика атом сатурн солнце километр шарик юпитер
877;How to engineer a viral music video;991597;Ingenious Funny Jaw-dropping;утро деталь конструкция привет окей руб туфля задача реквизит съемка
878;The lost art of democratic debate;960030;Persuasive Inspiring Informative;гольф флейта справедливость чарли брак кара аристотель дебаты сущность зал
879;How poachers became caretakers;292199;Inspiring Informative Persuasive;намибия охрана браконьер химба среда сообщество скот успех коза носорог
880;Sweat the small stuff;941403;Funny Persuasive Inspiring;указатель деталь успех расход усилие малый поезд кнопка фунт отель
881;Debate: Does the world need nuclear energy?;1119602;Informative Persuasive Fascinating;энергетика источник потребность территория оружие газ электричество эмиссия дебаты реактор
883;How architecture helped music evolve;1094681;Fascinating Informative Inspiring;помещение зал птица контекст холл страсть карнеги реверберация танагра крик
884;The pattern behind self-deception;2112571;Informative Fascinating Funny;соответствие ошибка дофамин род девушка заговор картинка окей ветер определение
885;How YouTube thinks about copyright;707919;Informative Persuasive Fascinating;контент копия видеоматериал совпадение владелец загрузка идентификация использование база любитель
886;The intriguing sound of marine mammals;369981;Informative Fascinating Persuasive;кит зов дельфин шум расстояние частота корабль столкновение зона лодка
887;Let's raise kids to be entrepreneurs;1382296;Inspiring Persuasive Informative;предприниматель черта мяч бизнес вешалка возраст цент подушечка знак защита
888;Fighting cancer with dance;526624;Inspiring Courageous Beautiful;рак танец дурга мысль богиня перерыв миф битва студия курс
889;Measuring what makes life worthwhile;2458819;Inspiring Persuasive Informative;счастие бутан бизнес лидер вивиан ввп маслоу работник пирамида король
891;Intricate beauty by design;588192;Beautiful Inspiring Fascinating;валентинка открытка удивление область буква содержание послание картинка труд палец
892;Education innovation in the slums;699121;Inspiring Informative Persuasive;знание ресторан инновация коллайдер трущоба учеба урок метод малый учение
893;A second opinion on developmental disorders;897848;Informative Jaw-dropping Inspiring;отклонение диагноз аутизм джастин расстройство схватка диагностика симптом команда функция
894;Legos for grownups;936598;Funny OK Fascinating;чувак штука тип автомат кубик магазин пытка окей пушка сокровище
896;How cognitive surplus will change the world;882156;Inspiring Informative Persuasive;штраф сад излишек мотивация сайт стоимость околло культура число педагог
898;Retrofitting suburbia;556340;Informative Persuasive Inspiring;пригород центр реконструкция район парковка поколение транспорт доступность дорога число
899;Hidden toxins in the fish we eat;310345;Informative Persuasive Inspiring;пирамида мясо дельфин основание организм детеныш скопление цепочка отходы бактерия
900;A 3D atlas of the universe;1510747;Beautiful Fascinating Informative;вселенная планетарий миссия вояджер пионер шоу галактика смысл спутник масштаб
901;Don't build your home, grow it!;1104457;Ingenious Fascinating Funny;жилище плоть среда дома биология растение прививка лаборатория слияние стиль
909;Fractals and the art of roughness;1094647;Fascinating Beautiful Informative;число математика цена плоскость капуста смысл правило кривой имя фигура
910;Obesity + hunger = 1 global food issue;606063;Informative Persuasive Inspiring;питание голод хозяйство ожирение период сумка еда пища фермер безопасность
911;Life science in prison;375629;Inspiring Unconvincing OK;дерево тюрьма заключенный лягушка ствол растение штат учреждение кисть свобода
912;Global population growth, box by box;2446246;Informative Persuasive Fascinating;выживаемость народонаселение запад рост размер экономика разрыв автомобиль учительница обувь
914;The oil spill's unseen villains -- and victims;514666;Persuasive Courageous Informative;залив нефть птица лодка знак дельфин рыба заграждение берег утечка
915;When ideas have sex;1997740;Fascinating Inspiring Informative;обмен топор предмет торговля инструмент адам культура существо свидетельство разделение
916;Listening to global voices;601042;Inspiring Informative Persuasive;новость гальвао сми тема фраза американец перевод пользователь средство стадо
917;The politics of fiction;1525046;Inspiring Beautiful Fascinating;писатель литература политика роман круг личность бабушка персонаж стамбул турция
918;Why the world needs WikiLeaks;2076278;Courageous Inspiring Informative;отчет журналист исландия мнение кения источник служба род выборы джулиан
919;Superheroes inspired by Islam;708903;Inspiring Courageous Ingenious;камень джаббар герой девушка супермен нью-йорк комикс персонаж статья число
920;How we found hundreds of potential Earth-like planets;1055923;Fascinating Informative Inspiring;коперник звезда телескоп размер вселенная кеплер новость днк лаборатория мост
921;A headset that reads your brainwaves;2273981;Jaw-dropping Fascinating Ingenious;эван выражение сигнал команда притягивание распознавание алгоритм мысль общение приложение
922;The bio-future of joint replacement;452026;Informative Ingenious Fascinating;колено ткань поверхность трансплантация артрит связка молодой мениск эпитоп сустав
924;The art of choosing;2418662;Informative Fascinating Inspiring;выбор предположение американец вариант сахар зрение предпочтение мисс смит анаграмма
926;Wiring an interactive ocean;315949;Fascinating Informative Inspiring;дно континент вулкан поверхность извержение океанография плита сильвия образец способность
927;A monkey economy as irrational as ours;1029113;Fascinating Informative Persuasive;обезьяна ошибка жетон выбор ситуация продавец бонус виноградина еда потеря
928;My mind-shifting Everest swim;962459;Inspiring Courageous Persuasive;гора эверест озеро ледник вершина агрессия метр край команда берег
929;How big brands can help save biodiversity;396586;Persuasive Informative Inspiring;товар потребление производство лес стол масло каргилл фермер производитель марс
930;Our century's greatest injustice;967403;Inspiring Persuasive Informative;девочка деревня манджу китай класс беатрис бедность половина трудность рабство
932;Meet Milo, the virtual boy;699390;Fascinating Unconvincing Ingenious;майло дмитрий голос блинчик улитка приключение сад фокус задача секунда
934;The Axis of Evil Middle East Comedy Tour;732275;Funny Inspiring Persuasive;восток ближний ось комедия шоу комедь ошибка дубай стендап фестиваль
935;Did you hear the one about the Iranian-American?;3613823;Funny Inspiring Courageous;дубай шоу ближний восток паспорт грамм американец мусульманин иран водитель
936;The game layer on top of the world;783369;Fascinating Informative Persuasive;динамика слой десятилетие прогресс очки предписание шар элемент динамик шаг
937;The beauty of data visualization;2274905;Fascinating Informative Inspiring;визуализация цифра пресса закономерность бюджет диаграмма род добавка картина военный
938;Inside an Antarctic time machine;564237;Informative Fascinating Inspiring;лед снег газ цилиндр вещество антарктида температура лаборатория исследователь граница
939;Learning from Sherman the shark;438287;Inspiring Funny Informative;комикс герой акула плавник динозавр шерман рыба бутылка комната читатель
940;The political chemistry of oil;401320;Informative Persuasive Unconvincing;нефть бензин молекула разлив потребление заправка политика стоимость налог залив
941;What physics taught me about marketing;1220152;Informative OK Funny;бренд маркетинг физика частица наблюдение распространение гипотеза потребитель измерение масса
944;The Happy Planet Index;1250984;Inspiring Persuasive Informative;благополучие счастие прогресс ресурс график показатель среда счет народ коста-рика
945;Let the environment guide our development;765611;Informative Persuasive Inspiring;граница инновация период кризис ситуация человечество парадигма использование климат способность
946;The technology of the heart;734096;Inspiring Beautiful Longwinded;сердце статуя будда любовь бамиан желание разум разговор обязанность кармап
947;Keep your goals to yourself;3761430;Informative Persuasive Inspiring;план достижение удовлетворение сознание ощущение шаг намерение половина окончание соблазн
948;The world's oldest living things;1220092;Fascinating Informative Beautiful;дерево грибок организм лист растение живой биолог куст существо тис
949;The child-driven education;2262338;Inspiring Fascinating Jaw-dropping;бабушка ньюкасл метод мальчик экзамен девочка дели ученик облачко соус
950;Art of substance and absence;409039;Fascinating Inspiring Beautiful;след скульптура корова тень дорога стена значение восприятие бумага воздух
951;An independent diplomat;319613;Inspiring Courageous Informative;дипломат косово оон совет безопасность переговоры событие нью-йорк представитель государство
952;Why the live arts matter;450855;Inspiring Persuasive Courageous;реформация сфера артист сообщество билет индустрия перестройка страсть бизнес балет
954;Discovering ancient climates in oceans and ice;503180;Informative Persuasive Fascinating;коралл температура метр ледник атмосфера климат кислотность ниньо эль повышение
955;How web video powers global innovation;1184706;Inspiring Persuasive Fascinating;выступление явление инновация цикл танцор сотня сообщество эволюция желание колесо
957;Our natural sleep cycle is nothing like what we do now;1699839;Informative OK Fascinating;часы ночь протяжение сутки зима пляж поверхность тьма краб лето
958;How social networks predict epidemics;520301;Informative Fascinating Ingenious;эпидемия центр сообщество узел восприятие линия грипп кривая предупреждение товар
959;Hurdy-gurdy for beginners;523483;Beautiful Fascinating Informative;гердь струна инструмент ручка прием публика колесо франция испания усилие
960;How pig parts make the world turn;1060417;Informative Fascinating Funny;свинья клапан мясо производитель кость стейк жир пиво коллаген кровь
961;Where good ideas come from;3295779;Inspiring Fascinating Informative;спутник инновация кофейня среда сигнал лаборатория дарвин догадка действительность кабинет
962;Mothers helping mothers fight HIV;211382;Inspiring Informative Persuasive;вич медсестра врач анализ наставница лекарство пациентка препарат поддержка здравоохранение
963;Why I am an HIV/AIDS activist;450804;Inspiring Courageous Informative;вич спид кампания фонд вирус экшн передача нельсон юнэйдс больница
964;The shape-shifting future of the mobile phone;771245;Ingenious Inspiring Fascinating;телефон мобильник контент коробка масса окей тяжесть экран восприятие карман
965;Shh! Sound health in 8 steps;913388;Informative Persuasive Inspiring;ухо слушание шум здоровье наушник аккорд голос европа шизофония фрагмент
966;The quantified self;784347;Informative OK Unconvincing;датчик сон наблюдение шкала частота рост число наушник сердцебиение прибор
967;I am my connectome;854946;Fascinating Informative Inspiring;нейрон коннект синапс ветвь деятельность мозги зал ген соединение коннектома
968;Bringing peace to the minds of Afghanistan;293079;Inspiring Courageous Informative;афганистан подход кабул симптом консультирование центр уверенность контроль надежда депрессия
970;How Mr. Condom made Thailand a better place for life and love;975548;Funny Inspiring Ingenious;презерватив планирование кредит таиланд спид бизнес оружие бедность деревня банк
971;Are mushrooms the new plastic?;1004265;Ingenious Inspiring Fascinating;производство кожура мицелий гриб этап семя сырье блок цех оборудование
972;An economic reality check;818270;Inspiring Persuasive Informative;рост экономика процветание надежда доход товар новшество противоречие кризис углерод
973;Tagging tuna in the deep ocean;322284;Informative Fascinating Inspiring;тунец акула голубой рыба датчик особь команда популяция размер протяжение
974;The good news of the decade? We're winning the war against child mortality;655664;Informative Persuasive Inspiring;смертность кения швеция снижение оон тренд показатель здравоохранение размер конго
975;The best gift I ever survived;2845153;Inspiring Courageous Beautiful;подарок чудо опухоль гемангиобластома смирение очередь нирвана воображение родственник безделье
976;The roots of plant intelligence;875705;Fascinating Informative Inspiring;растение корень кончик живой пыльца способность вектор гибрид участок существо
977;What nonprofits can learn from Coca-Cola;1065802;Inspiring Persuasive Informative;кока полиомиелит маркетинг счастие производство врач эфиопия здравоохранение предприниматель август
978;Haiti's disaster of engineering;288737;Informative Persuasive Inspiring;гаити землетрясение кладка каменщик метод чили колонна министерство арматура катастрофа
980;The art of the eco-mindshift;387336;Ingenious Inspiring Fascinating;здоровье головастик рыба воздух мышь качество клиника среда кризис птица
981;My web playroom;1763938;Inspiring Beautiful Funny;запись окей порядок письмо задница голос сообщение фрэнк дочь стресс
983;Poverty, money -- and love;1251340;Inspiring Beautiful Courageous;бизнес предприниматель бедняк вложение инструмент взгляд сообщество средство поддержка очередь
984;The brain in your gut;1188993;Informative Fascinating Funny;пища кишечник сигнал приготовление зал вкус слой поощрение масло голод
986;Tough truths about plastic pollution;595540;Informative Persuasive Inspiring;пластик бутылка пластика пятно загрязнение кусочек альтернатива переработка борьба поток
987;The power of cartoons;680304;Funny Inspiring Courageous;рисунок карикатурист зал газета карикатура ливан ивуар кот свобода дозо
988;"""(Nothing But) Flowers"" with string quartet";525090;Beautiful Inspiring OK;куда цветок динозавр дэвид птица фабрика поле томас беда ужин
991;Breakthrough designs for ultra-low-cost products;585048;Inspiring Ingenious Fascinating;цена автомобиль малый ганди инновация нано число лекарство команда ратан
992;Global power shifts;841640;Informative Persuasive Inspiring;китай государство азия штат экономика мощь половина америка власть упадок
